chapter,inventor,contributor,inventor_rank,contributor_rank,mutual_rank_sum,reason,reason_order,score,round
Denmark,Aiswarya,Nora,2.0,1.0,3.0,mutual,1,3.01,1
Denmark,Oliver,Ida,1.0,1.0,2.0,mutual,1,2.01,1
Denmark,Aiswarya,Freja,4.0,1.0,5.0,mutual,1,5.01,2
Denmark,Oliver,Elena,2.0,1.0,3.0,mutual,1,3.01,2
Denmark,Aiswarya,Elena,1.0,,,inv_pref,2,999.02,3
Denmark,Oliver,Nora,3.0,,,inv_pref,2,999.02,3
Denmark,Aiswarya,Lorenzo,3.0,,,inv_pref,2,999.02,4
Denmark,Oliver,Freja,,2.0,,con_pref,3,999.03,4
Denmark,Aiswarya,Jakob,,2.0,,con_pref,3,999.03,5
Denmark,Oliver,Lorenzo,,1.0,,con_pref,3,999.03,5
Denmark,Oliver,Jakob,,1.0,,con_pref,3,999.03,6
