chapter,inventor,contributor,inventor_rank,contributor_rank,mutual_rank_sum,reason,reason_order,score,round
Texas,Ana,Mireille,3.0,3,6.0,mutual,1,6.01,1
Texas,Caroline,Karthik,1.0,1,2.0,mutual,1,2.01,1
Texas,Desika,Lucia,2.0,1,3.0,mutual,1,3.01,1
Texas,Ana,Lucia,1.0,3,4.0,mutual,1,4.01,2
Texas,Caroline,Elena,,2,,con_pref,3,999.03,2
Texas,Desika,Mireille,1.0,2,3.0,mutual,1,3.01,2
Texas,Ana,Karthik,2.0,3,5.0,mutual,1,5.01,3
Texas,Caroline,Lucia,2.0,2,4.0,mutual,1,4.01,3
Texas,Desika,Elena,,1,,con_pref,3,999.03,3
Texas,Ana,Elena,,3,,con_pref,3,999.03,4
Texas,Caroline,Mireille,3.0,1,4.0,mutual,1,4.01,4
Texas,Desika,Karthik,3.0,2,5.0,mutual,1,5.01,4
Texas,Ana,Freya,,3,,con_pref,3,999.03,5
Texas,Caroline,Freya,,2,,con_pref,3,999.03,6
Texas,Desika,Freya,,1,,con_pref,3,999.03,7
